CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
69122G102,OBDE,Blue Owl Capital Corp III,621405,-1489831,8.96M,-21.48M,-70.6%,0.03%
65339F101,NEE,NextEra Energy Inc.,1776410,-306109,127.35M,-21.94M,-14.7%,0.38%
25278X109,FANG,Diamondback Energy Inc.,197661,-139221,32.38M,-22.81M,-41.3%,0.1%
036752103,ELV,Elevance Health Inc,144832,-63224,53.43M,-23.32M,-30.4%,0.16%
031162100,AMGN,Amgen Inc.,297245,-95338,77.47M,-24.85M,-24.3%,0.23%
084423102,WRB,WR Berkley Corp,421878,-445761,24.69M,-26.09M,-51.4%,0.07%
194162103,CL,Colgate-Palmolive Co.,629655,-288157,57.24M,-26.2M,-31.4%,0.17%
883556102,TMO,Thermo Fisher Scientific Inc,248818,-51927,129.44M,-27.01M,-17.3%,0.39%
461202103,INTU,Intuit Inc.,174683,-54227,109.79M,-34.08M,-23.7%,0.33%
68389X105,ORCL,Oracle Corp.,1053305,-252658,175.52M,-42.1M,-19.3%,0.52%
040413106,ANET,Arista Networks Inc OLD,0,-150618,0,-57.81M,CLOSE,0%
512807108,LRCX,Lam Research Corp. OLD,0,-100649,0,-82.14M,CLOSE,0%
09247X101,BLK,Blackrock Finance Inc,0,-87569,0,-83.15M,CLOSE,0%
Total,,,,,33.44B,2.68B,+8.9%,100%
