CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
595112103,MU,MICRON TECHNOLOGY INC,10001,1,2.85M,285.41,+0%,0.47%
48251W104,KKR,KKR & CO INC,7834,2,998.68K,254.96,+0%,0.17%
33833Q106,FPH,FIVE POINT HOLDINGS LLC,115064,43,643.21K,240.37,+0%,0.11%
023135106,AMZN,AMAZON COM INC,4501,1,1.04M,230.82,+0%,0.17%
G29018101,DLO,DLOCAL LTD,60015,15,848.61K,212.1,+0%,0.14%
67066G104,NVDA,NVIDIA CORPORATION,5001,1,932.69K,186.5,+0%,0.15%
12653C108,CNX,CNX RES CORP,21932,5,806.44K,183.85,+0%,0.13%
617446448,MS,MORGAN STANLEY,7815,1,1.39M,177.53,+0%,0.23%
110448107,BTI,BRITISH AMERN TOB PLC,11003,3,622.99K,169.86,+0%,0.1%
285409108,ELMD,ELECTROMED INC,25574,5,744.72K,145.6,+0%,0.12%
N00985106,AER,AERCAP HOLDINGS NV,7951,1,1.14M,143.76,+0%,0.19%
088929104,BGC,BGC GROUP INC,137738,14,1.23M,125.02,+0%,0.2%
G9456A100,GLNG,GOLAR LNG LTD,15003,3,558.26K,111.63,+0%,0.09%
637215104,NPK,NATIONAL PRESTO INDS INC,8022,1,856.43K,106.76,+0%,0.14%
G7997W102,SDRL,SEADRILL LTD,12003,3,415.3K,103.8,+0%,0.07%
87876P201,TGEN,TECOGEN INC NEW,55017,17,271.78K,83.98,+0%,0.04%
92835K103,VPG,VISHAY PRECISION GROUP INC,25002,2,962.58K,77,+0%,0.16%
03676B102,AM,ANTERO MIDSTREAM CORP,42004,4,747.25K,71.16,+0%,0.12%
292554102,ECPG,ENCORE CAP GROUP INC,5247,1,285.17K,54.35,+0%,0.05%
83406F102,SOFI,SOFI TECHNOLOGIES INC,8002,2,209.49K,52.36,+0%,0.03%
46090E103,QQQ,INVESCO QQQ TR,13342,0,8.2M,0,NO CHANGE,1.4%
78409V104,SPGI,S&P GLOBAL INC,7999,0,4.18M,0,NO CHANGE,0.69%
464287648,IWO,ISHARES TR,8484,0,2.74M,0,NO CHANGE,0.45%
037833100,AAPL,APPLE INC,8986,0,2.44M,0,NO CHANGE,0.4%
14040H105,COF,CAPITAL ONE FINL CORP,4981,0,1.21M,0,NO CHANGE,0.2%
464287606,IJK,ISHARES TR,7833,0,758.86K,0,NO CHANGE,0.13%
55825T103,MSGS,MADISON SQUARE GRDN SPRT COR,2321,0,600.33K,0,NO CHANGE,0.1%
15101Q207,CLS,CELESTICA INC,2000,0,591.22K,0,NO CHANGE,0.1%
G3730V105,FTAI,FTAI AVIATION LTD,2500,0,492.12K,0,NO CHANGE,0.08%
03831W108,APP,APPLOVIN CORP,600,0,404.29K,0,NO CHANGE,0.07%
78467Y107,MDY,SPDR S&P MIDCAP 400 ETF TR,597,0,360.16K,0,NO CHANGE,0.06%
19188U206,CODA,CODA OCTOPUS GROUP INC,14438,0,134.27K,0,NO CHANGE,0.02%
M5R635108,INVZ,INNOVIZ TECHNOLOGIES LTD,25000,0,21.33K,0,NO CHANGE,<.01%
531914109,LWAY,LIFEWAY FOODS INC,14426,-2,349.54K,-48.46,-0%,0.06%
583928106,MFIN,MEDALLION FINL CORP,57849,-10,595.27K,-102.9,-0%,0.1%
49456B101,KMI,KINDER MORGAN INC DEL,11816,-4,324.82K,-109.96,-0%,0.05%
878742204,TECK,TECK RESOURCES LTD,10489,-3,502.32K,-143.67,-0%,0.08%
G4095J109,GLRE,GREENLIGHT CAPITAL RE LTD,35591,-11,518.92K,-160.38,-0%,0.09%
632347100,NATH,NATHANS FAMOUS INC NEW,4746,-2,444.08K,-187.14,-0%,0.07%
205684202,CHCI,COMSTOCK HLDG COS INC,45436,-25,527.97K,-290.5,-0.1%,0.09%
92941V308,VYNE,VYNE THERAPEUTICS INC,0,-50000,0,-16.75K,CLOSE,0%
74349W302,SOAR,VOLATO GROUP INC,0,-10000,0,-17.7K,CLOSE,0%
68236V302,ETHZ,ETHZILLA CORPORATION,0,-10000,0,-24.1K,CLOSE,0%
02927U208,AREC,AMERICAN RES CORP,0,-10000,0,-27K,CLOSE,0%
