CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
79466L302,CRM,SALESFORCE INC,111503,50560,26.43M,11.98M,+83%,0.66%
697435105,PANW,PALO ALTO NETWORKS INC,58590,58590,11.93M,11.93M,NEW,0.3%
496902404,KGC,KINROSS GOLD CORP,472577,472577,11.74M,11.74M,NEW,0.29%
47215P106,JD,JD.COM INC,496160,329765,17.36M,11.54M,+198.2%,0.43%
86800U302,SMCI,SUPER MICRO COMPUTER INC,517702,239463,24.82M,11.48M,+86.1%,0.62%
369604301,GE,GE AEROSPACE,36899,36899,11.1M,11.1M,NEW,0.28%
32076V103,AG,FIRST MAJESTIC SILVER CORP,887406,887406,10.91M,10.91M,NEW,0.27%
871607107,SNPS,SYNOPSYS INC,21538,20878,10.63M,10.3M,+3163.3%,0.27%
H5919C104,ONON,ON HLDG AG,284872,236027,12.06M,10M,+483.2%,0.3%
040413205,ANET,ARISTA NETWORKS INC,67910,67910,9.9M,9.9M,NEW,0.25%
46438R105,ETHA,ISHARES ETHEREUM TR,312599,312599,9.85M,9.85M,NEW,0.25%
983134107,WYNN,WYNN RESORTS LTD,185018,73079,23.73M,9.37M,+65.3%,0.59%
88339J105,TTD,THE TRADE DESK INC,187559,187559,9.19M,9.19M,NEW,0.23%
G6700G107,NVT,NVENT ELECTRIC PLC,312922,92393,30.87M,9.11M,+41.9%,0.77%
459200101,IBM,INTERNATIONAL BUSINESS MACHS,31780,31778,8.97M,8.97M,+1588900%,0.22%
15135B101,CNC,CENTENE CORP DEL,242178,242178,8.64M,8.64M,NEW,0.22%
565394103,CART,MAPLEBEAR INC,231817,231817,8.52M,8.52M,NEW,0.21%
21036P108,STZ,CONSTELLATION BRANDS INC,71103,62443,9.58M,8.41M,+721.1%,0.24%
68389X105,ORCL,ORACLE CORP,355638,29620,100.02M,8.33M,+9.1%,2.5%
50077B207,KTOS,KRATOS DEFENSE &amp; SEC SOLUTIO,89253,89253,8.16M,8.16M,NEW,0.2%
G8588X103,SGHC,SUPER GROUP SGHC LIMITED,607447,607447,8.02M,8.02M,NEW,0.2%
